pk,card_id,card_name,card_brand,card_in_out_1,card_in_out_2,card_in_out_3,card_img,card_record,card_overseas
65,70,삼성카드 5V3,삼성카드,"해외겸용 20,000",,,https://api.card-gorilla.com:8080/storage/card/70/card_img/20152/70card.png,전월실적30 만원 이상,VISA | mastercard | UnionPay
66,71,삼성카드 4V3,삼성카드,"해외겸용 20,000",,,https://api.card-gorilla.com:8080/storage/card/71/card_img/20153/71card.png,전월실적30 만원 이상,mastercard | UnionPay
67,72,트레이더스신세계 삼성카드,삼성카드,"국내전용 15,000","해외겸용 15,000",,https://api.card-gorilla.com:8080/storage/card/72/card_img/27079/0072card.png,전월실적40 만원 이상,mastercard
68,73,카드의정석 NEW우리V카드,우리카드,"국내전용 2,000","해외겸용 5,000",,https://api.card-gorilla.com:8080/storage/card/73/card_img/20155/73card.png,전월실적30 만원 이상,VISA | BC | BC Global | mastercard | UnionPay
69,74,All For Me카드,우리카드,"해외겸용 10,000",,,https://api.card-gorilla.com:8080/storage/card/74/card_img/20156/74card.png,전월실적30 만원 이상,VISA | mastercard | UnionPay
70,75,KT 카드의정석 Super DC,우리카드,"국내전용 20,000","해외겸용 25,000",,https://api.card-gorilla.com:8080/storage/card/75/card_img/20157/75card.png,전월실적30 만원 이상,VISA | BC
71,76,LGU+ 카드의정석 장기할부,우리카드,"국내전용 15,000","해외겸용 20,000",,https://api.card-gorilla.com:8080/storage/card/76/card_img/20158/76card.png,전월실적30 만원 이상,VISA | BC | mastercard
72,77,위비멤버스카드,우리카드,"국내전용 10,000","해외겸용 12,000",,https://api.card-gorilla.com:8080/storage/card/77/card_img/20159/77card.png,전월실적30 만원 이상,BC | mastercard
73,78,블루다이아몬드Ⅱ 카드,우리카드,"국내전용 95,000","해외겸용 100,000",,https://api.card-gorilla.com:8080/storage/card/78/card_img/20160/78card.png,전월실적30 만원 이상,BC | mastercard | JCB
74,79,그랑블루Ⅱ카드,우리카드,"해외겸용 100,000",,,https://api.card-gorilla.com:8080/storage/card/79/card_img/20161/79card.png,전월실적30 만원 이상,VISA | mastercard | UnionPay
75,80,썸(SUM) 페이 카드,우리카드,"해외겸용 10,000",,,https://api.card-gorilla.com:8080/storage/card/80/card_img/20162/80card.png,전월실적30 만원 이상,mastercard | UnionPay
76,81,위메프 우리카드,우리카드,"국내전용 10,000","해외겸용 12,000",,https://api.card-gorilla.com:8080/storage/card/81/card_img/20163/81card.png,전월실적30 만원 이상,BC | mastercard | UnionPay
77,82,우리 XGOLF 카드,우리카드,"국내전용 13,000","해외겸용 15,000",,https://api.card-gorilla.com:8080/storage/card/82/card_img/20164/82card.png,전월실적30 만원 이상,BC | mastercard
78,83,ONLY 나만의카드,우리카드,"국내전용 13,000","해외겸용 15,000",,https://api.card-gorilla.com:8080/storage/card/83/card_img/20165/83card.png,전월실적30 만원 이상,BC | mastercard
79,84,카드의정석 POINT,우리카드,"국내전용 10,000","해외겸용 12,000",,https://api.card-gorilla.com:8080/storage/card/84/card_img/20166/84card.png,전월실적30 만원 이상,VISA | BC | mastercard
80,85,카드의정석 SHOPPING,우리카드,"국내전용 10,000","해외겸용 12,000",,https://api.card-gorilla.com:8080/storage/card/85/card_img/20167/85card.png,전월실적30 만원 이상,VISA | mastercard | UnionPay
81,86,카드의정석 DISCOUNT,우리카드,"국내전용 10,000","해외겸용 12,000",,https://api.card-gorilla.com:8080/storage/card/86/card_img/20168/86card.png,전월실적 없음,VISA | mastercard | UnionPay
82,87,DA@카드의정석,우리카드,"국내전용 5,000","해외겸용 10,000",,https://api.card-gorilla.com:8080/storage/card/87/card_img/20239/87card.png,전월실적 없음,BC | mastercard
83,88,D4@카드의정석,우리카드,"국내전용 9,000","해외겸용 10,000",,https://api.card-gorilla.com:8080/storage/card/88/card_img/20241/88card.png,전월실적30 만원 이상,BC | mastercard
84,89,우리Most카드,우리카드,"국내전용 19,000","해외겸용 20,000",,https://api.card-gorilla.com:8080/storage/card/89/card_img/20242/89card.png,전월실적30 만원 이상,VISA | BC | UnionPay
85,90,카드의정석 위비온 플러스,우리카드,"국내전용 13,000","해외겸용 15,000",,https://api.card-gorilla.com:8080/storage/card/90/card_img/20243/90card.png,전월실적30 만원 이상,BC | mastercard
86,91,카드의정석 PREMIUM POINT,우리카드,"국내전용 110,000","해외겸용 110,000",,https://api.card-gorilla.com:8080/storage/card/91/card_img/20245/91card.png,전월실적 없음,BC | mastercard
87,92,카드의정석 PREMIUM MILEAGE(SKYPASS),우리카드,"국내전용 135,000","해외겸용 135,000",,https://api.card-gorilla.com:8080/storage/card/92/card_img/20246/92card.png,전월실적50 만원 이상,BC | mastercard
88,93,카드의정석 PREMIUM MILEAGE(AsianaClub),우리카드,"국내전용 135,000","해외겸용 135,000",,https://api.card-gorilla.com:8080/storage/card/93/card_img/20247/93card.png,전월실적50 만원 이상,BC | mastercard
89,94,LoL CHAMPIONS KOREA 우리카드,우리카드,"해외겸용 10,000",,,https://api.card-gorilla.com:8080/storage/card/94/card_img/20248/94card.png,전월실적 없음,VISA | mastercard | UnionPay
90,95,갤러리아 씨티카드 프레스티지,씨티카드,"국내전용 4,000","해외겸용 5,000",,https://api.card-gorilla.com:8080/storage/card/95/card_img/20250/95card.png,전월실적30 만원 이상,VISA
91,96,씨티 리워드,씨티카드,"국내전용 8,000","해외겸용 10,000",,https://api.card-gorilla.com:8080/storage/card/96/card_img/20251/96card.png,전월실적30 만원 이상,mastercard
92,97,신세계 씨티 리워드,씨티카드,"국내전용 8,000","해외겸용 10,000",,https://api.card-gorilla.com:8080/storage/card/97/card_img/20253/97card.png,전월실적30 만원 이상,VISA | mastercard
93,98,신세계 씨티카드 콰트로,씨티카드,"국내전용 2,000","해외겸용 5,000",,https://api.card-gorilla.com:8080/storage/card/98/card_img/20254/98card.png,전월실적30 만원 이상,VISA
94,99,신세계 씨티 플래티늄 아시아나,씨티카드,"해외겸용 5,000","해외겸용 10,000",,https://api.card-gorilla.com:8080/storage/card/99/card_img/20256/99card.png,전월실적 없음,VISA
95,100,씨티 NEW 캐시백,씨티카드,"국내전용 13,000","해외겸용 15,000",,https://api.card-gorilla.com:8080/storage/card/100/card_img/20257/100card.png,전월실적 없음,mastercard
96,101,NEW 씨티 클리어,씨티카드,"국내전용 4,000","해외겸용 5,000",,https://api.card-gorilla.com:8080/storage/card/101/card_img/20258/101card.png,전월실적15 만원 이상,mastercard
97,102,씨티 NEW 프리미어마일 대한항공,씨티카드,"국내전용 148,000","해외겸용 150,000",,https://api.card-gorilla.com:8080/storage/card/102/card_img/20260/102card.png,전월실적 없음,VISA
98,103,씨티 NEW 프리미어마일 아시아나,씨티카드,"국내전용 148,000","해외겸용 150,000",,https://api.card-gorilla.com:8080/storage/card/103/card_img/20261/103card.png,전월실적 없음,
99,104,대백 씨티카드 아인스,씨티카드,"국내전용 4,000","해외겸용 5,000",,https://api.card-gorilla.com:8080/storage/card/104/card_img/20262/104card.png,전월실적30 만원 이상,VISA
100,105,이마트 KB국민카드,KB국민카드,"국내전용 5,000","해외전용 10,000",,https://api.card-gorilla.com:8080/storage/card/105/card_img/20263/105card.png,전월실적30 만원 이상,VISA | mastercard | AMEX | UnionPay
101,106,굿데이카드,KB국민카드,"국내전용 5,000","해외겸용 10,000",,https://api.card-gorilla.com:8080/storage/card/106/card_img/20264/106card.png,전월실적30 만원 이상,VISA | mastercard | AMEX | UnionPay | JCB
102,107,SK LPG SAVE KB국민카드,KB국민카드,"국내전용 3,000","해외겸용 5,000",,https://api.card-gorilla.com:8080/storage/card/107/card_img/20265/107card.png,전월실적30 만원 이상,VISA | mastercard
103,108,와이즈카드,KB국민카드,"국내전용 5,000","해외겸용 10,000",,https://api.card-gorilla.com:8080/storage/card/108/card_img/20266/108card.png,전월실적 없음,VISA | mastercard | AMEX | UnionPay | JCB
104,109,SK에너지 러브유 KB국민카드,KB국민카드,"국내전용 7,000","해외겸용 12,000",,https://api.card-gorilla.com:8080/storage/card/109/card_img/20267/109card.png,전월실적30 만원 이상,mastercard | JCB
105,110,서울도시가스 KB국민카드,KB국민카드,"국내전용 5,000","해외겸용 10,000",,https://api.card-gorilla.com:8080/storage/card/110/card_img/20268/110card.png,전월실적30 만원 이상,mastercard | JCB
106,111,혜담Ⅱ카드,KB국민카드,"국내전용 5,000","해외겸용 10,000",,https://api.card-gorilla.com:8080/storage/card/111/card_img/20269/111card.png,전월실적30 만원 이상,mastercard | AMEX | UnionPay | JCB
107,112,GS행복가득카드,KB국민카드,"국내전용 7,000","해외겸용 12,000",,https://api.card-gorilla.com:8080/storage/card/112/card_img/20270/112card.png,전월실적30 만원 이상,mastercard | AMEX
108,113,마일리지 가온카드(대한항공),KB국민카드,"국내전용 15,000","해외겸용 20,000",,https://api.card-gorilla.com:8080/storage/card/113/card_img/20271/113card.png,전월실적 없음,mastercard
109,114,마일리지 가온카드(아시아나),KB국민카드,"국내전용 15,000","해외겸용 20,000",,https://api.card-gorilla.com:8080/storage/card/114/card_img/20272/114card.png,전월실적 없음,mastercard
110,115,굿데이올림카드,KB국민카드,"국내전용 15,000","해외겸용 20,000",,https://api.card-gorilla.com:8080/storage/card/115/card_img/20273/115card.png,전월실적30 만원 이상,VISA | mastercard | AMEX
111,116,청춘대로카드,KB국민카드,"국내전용 15,000","해외겸용 20,000",,https://api.card-gorilla.com:8080/storage/card/116/card_img/20274/116card.png,전월실적30 만원 이상,mastercard
112,117,청춘대로 티타늄 카드,KB국민카드,"해외겸용 40,000",,,https://api.card-gorilla.com:8080/storage/card/117/card_img/20349/117card.png,전월실적30 만원 이상,mastercard | UnionPay
113,118,FINETECH카드(아시아나),KB국민카드,"국내전용 20,000","해외겸용 25,000",,https://api.card-gorilla.com:8080/storage/card/118/card_img/24264/118card.png,전월실적 없음,mastercard
114,119,FINETECH카드(대한항공),KB국민카드,"국내전용 20,000","해외겸용 25,000",,https://api.card-gorilla.com:8080/storage/card/119/card_img/24263/119card.png,전월실적 없음,mastercard
115,120,ONE카드,KB국민카드,"해외겸용 15,000",,,https://api.card-gorilla.com:8080/storage/card/120/card_img/20352/120card.png,전월실적 없음,mastercard
116,121,다담카드,KB국민카드,"해외겸용 20,000",,,https://api.card-gorilla.com:8080/storage/card/121/card_img/20353/121card.png,전월실적30 만원 이상,VISA | mastercard
117,122,모바일101카드,KB국민카드,"해외겸용 1,000",,,https://api.card-gorilla.com:8080/storage/card/122/card_img/20354/122card.png,전월실적20 만원 이상,VISA | mastercard
118,123,아이행복카드(S-type),KB국민카드,국내전용 없음,해외겸용 없음,,https://api.card-gorilla.com:8080/storage/card/123/card_img/23900/123card.png,전월실적30 만원 이상,mastercard
119,124,아이행복카드(T-type),KB국민카드,국내전용 없음,해외겸용 없음,,https://api.card-gorilla.com:8080/storage/card/124/card_img/23901/124card.png,전월실적30 만원 이상,mastercard
120,125,E1 LPG KB국민카드,KB국민카드,"해외겸용 20,000",,,https://api.card-gorilla.com:8080/storage/card/125/card_img/20355/125card.png,전월실적50 만원 이상,mastercard
121,126,아시아나 올림카드,KB국민카드,"국내전용 28,000","해외겸용 30,000",,https://api.card-gorilla.com:8080/storage/card/126/card_img/20356/126card.png,전월실적 없음,mastercard
122,127,청춘대로 매니아i카드,KB국민카드,"국내전용 12,000","해외겸용 15,000",,https://api.card-gorilla.com:8080/storage/card/127/card_img/20357/127card.png,전월실적40 만원 이상,mastercard | UnionPay
123,128,Liiv Mate카드,KB국민카드,"국내전용 12,000","해외겸용 15,000",,https://api.card-gorilla.com:8080/storage/card/128/card_img/23902/128card.png,전월실적30 만원 이상,mastercard
124,129,청춘대로 톡톡카드,KB국민카드,"국내전용 10,000","해외겸용 12,000",,https://api.card-gorilla.com:8080/storage/card/129/card_img/20358/129card.png,전월실적30 만원 이상,mastercard | JCB
125,130,BeV V카드(포인트형),KB국민카드,"해외겸용 300,000",,,https://api.card-gorilla.com:8080/storage/card/130/card_img/20359/130card.png,전월실적50 만원 이상,mastercard
126,131,BeV V카드(스카이패스형),KB국민카드,"해외겸용 300,000",,,https://api.card-gorilla.com:8080/storage/card/131/card_img/20360/131card.png,전월실적50 만원 이상,mastercard
127,132,청춘대로 1코노미 카드,KB국민카드,"해외겸용 17,000",,,https://api.card-gorilla.com:8080/storage/card/132/card_img/20361/132card.png,전월실적40 만원 이상,mastercard
128,133,BeV Ⅲ 카드,KB국민카드,"해외겸용 210,000",,,https://api.card-gorilla.com:8080/storage/card/133/card_img/20362/133card.png,전월실적50 만원 이상,mastercard
129,134,탄탄대로 온리유카드,KB국민카드,"국내전용 15,000","해외겸용 15,000",,https://api.card-gorilla.com:8080/storage/card/134/card_img/20363/134card.png,전월실적40 만원 이상,mastercard
130,135,탄탄대로 이지홈카드,KB국민카드,"국내전용 15,000","해외겸용 15,000",,https://api.card-gorilla.com:8080/storage/card/135/card_img/23903/135card.png,전월실적40 만원 이상,mastercard
